SA2011;MDM_rank;MDM_PC_inc;MDM_PC_emp
N00000991;868;17;30
N00000992;1191;15;24
N00000993;1140;11;26
N00000994;1032;16;26
N00000995;2463;15;14
N00000996;3352;7;20
N00000997;3617;12;12
N00000998;3533;12;11
N00000999;1385;15;26
N00001000;3997;6;12
N00001001;1622;12;21
N00001002;1680;14;23
N00001003;1659;19;16
N00001004;1088;19;23
N00001005;855;17;33
N00001006;3584;10;10
N00001007;3222;13;8
N00001008;1773;21;6
N00001009;2898;14;11
N00001010;2238;14;6
N00001011;2141;13;5
N00001012;1977;11;12
N00001013;2523;10;4
N00001014;2426;16;12
N00001015;3290;9;3
N00001016;2667;12;7
N00001017;3437;8;3
N00001018;3475;11;7
N00001019;1974;15;6
N00001020;415;24;30
N00001021;3388;7;5
N00001022;488;20;32
N00001023;1290;21;8
N00001024;2786;13;6
N00001025;1619;18;7
N00001026;1741;14;12
N00001027;1688;12;15
N00001028;235;10;54
N00001029;368;21;35
N00001030;378;16;33
N00001031;1330;11;23
N00001032;771;18;32
N00001033;14;36;77
N00001034;3073;8;16
N00001035;284;24;35
N00001036;1196;11;28
N00001037;3145;14;16
N00001038;3900;10;11
N00001039;4324;7;7
N00001040;1401;16;21
N00001041;729;17;41
N00001042;3272;9;17
N00001043;688;12;40
N00001044;2404;13;17
N00001045;3635;10;11
N00001046;4398;6;4
N00001047;3756;5;16
N00001048;3589;9;11
N00001049;3913;5;14
N00001050;3955;7;11
N00001051;4236;9;6
N00001052;229;42;38
N00001053;4304;7;7
N00001054;4220;8;9
N00001055;4223;8;9
N00001056;3688;8;15
N00001057;4188;6;8
N00001058;4391;4;7
N00001059;4015;4;16
N00001060;4270;4;8
N00001061;4300;7;6
N00001062;4407;6;9
N00001063;4359;7;9
N00001064;4475;6;9
N00001065;4400;6;7
N00001066;4474;7;10
N00001067;4502;5;11
N00001068;4422;5;6
N00001069;4379;9;8
N00001070;4509;8;5
N00001071;4014;11;10
N00001072;4052;10;11
N00001073;1754;10;27
N00001074;4518;4;6
N00001075;3322;8;14
N00001076;2345;10;31
N00001077;1289;11;39
N00001078;4267;6;9
N00001079;275;20;39
N00001080;2145;14;19
N00001081;2939;9;19
N00001082;1008;15;31
N00001083;3749;10;12
N00001084;1071;17;35
N00001085;1937;10;28
N00001086;3885;6;9
N00001087;3590;5;13
N00001088;3832;9;12
N00001089;1240;16;29
N00001090;1031;14;31
N00001091;2573;11;21
N00001092;1577;13;28
N00001093;304;17;45
N00001094;270;20;48
N00001095;282;21;41
N00001096;2114;13;21
N00001097;2501;8;25
N00001098;2753;9;17
N00001099;2685;12;22
N00001100;3105;5;22
N00001101;2295;11;19
N00001102;367;16;44
N00001103;542;18;40
N00001104;2338;10;22
N00001105;834;20;30
N00001106;603;16;35
N00001107;444;17;43
N00001108;198;24;45
N00001109;299;17;46
N00001110;172;24;43
N00001111;1202;12;36
N00001112;49;27;55
N00001113;451;13;43
N00001114;628;20;37
N00001115;955;12;40
N00001116;259;16;46
N00001117;391;22;40
N00001118;54;24;50
N00001119;283;16;46
N00001120;316;18;43
N00001121;62;21;58
N00001122;24;24;61
N00001123;464;13;46
N00001124;891;14;33
N00001125;215;27;31
N00001126;17;28;47
N00001127;33;26;50
N00001128;102;20;52
N00001129;705;11;38
N00001130;68;30;43
N00001131;650;14;33
N00001132;266;20;40
N00001133;595;22;29
N00001134;576;21;32
N00001135;565;15;35
N00001136;155;27;36
N00001137;352;16;44
N00001138;5;33;62
N00001139;2077;11;22
N00001140;255;29;35
N00001141;765;16;32
N00001142;543;21;37
N00001143;232;26;44
N00001144;167;22;42
N00001145;192;16;50
N00001146;226;14;54
N00001147;979;16;32
N00001148;225;13;50
N00001149;271;18;44
N00001150;206;14;45
N00001151;214;17;47
N00001152;194;17;43
N00001153;179;13;48
N00001154;583;14;35
N00001155;556;16;41
N00001156;165;19;47
N00001157;2468;8;22
N00001158;3725;9;15
N00001159;2948;5;20
N00001160;621;19;35
N00001161;649;8;41
N00001162;1248;11;31
N00001163;698;5;54
N00001164;2686;6;24
N00001165;2741;10;22
N00001166;1960;11;32
N00001167;2964;13;16
N00001168;329;10;51
N00001169;2549;10;23
N00001170;2442;9;23
N00001171;2600;12;22
N00001172;2536;12;19
N00001173;3300;10;17
N00001174;4344;9;7
N00001175;4527;1;6
N00001176;4007;7;13
